Country	Capital	Population
Afghanistan	Kabul	42239
Albania	Tirana	2832
Algeria	El Djazaïr Algiers	45606
American Samoa	Pago Pago	43
Andorra	Andorra la Velly	80
Angola	Luanda	36684
Anguilla	The Valley	15
Antigua and Barbuda	St. John's	94
Argentina	Buenos Aires	45773
Armenia	Yerevan	2777
Aruba	Oranjestad	106
Australia	Canberra	26439
Austria	Wien	8958
Azerbaijan	Baku	10412
Bahamas	Nassau	412
Bahrain	Al-Manamah	1485
Bangladesh	Dhaka	172954
Barbados	Bridgetown	281
Belarus	Minsk	9498
Belgium	Bruxelles-Brussel	11686
Belize	Belmopan	410
Benin	Cotonou	13712
Bermuda	Hamilton	64
Bhutan	Thimphu	787
Bolivia	La Paz	12388
Bosnia and Herzegovina	Sarajevo	3120
Botswana	Gaborone	2675
Brazil	Brasília	216422
British Virgin Islands	Road Town	31
Brunei	Darussalam	452
Bulgaria	Sofia	6687
Burkina Faso	Ouagadougou	23251
Burundi	Bujumbura	13238
Cabo Verde	Praia	598
Cambodia	Phnum Pénh	16944
Cameroon	Yaoundé	28647
Canada	Ottawa-Gatineau	38781
Caribbean Netherlands	Kralendijk	27
Cayman Islands	George Town	69
Central African Republic	Bangui	5742
Chad	N'Djaména	18278
Chile	Santiago	19629
China	Beijing	1425671
Colombia	Bogotá	52085
Comoros	Moroni	825
Congo	Brazzaville	6106
Cook Islands	Rarotonga	17
Costa Rica	San José	5212
Côte d'Ivoire	Abidjan	28873
Croatia	Zagreb	4008
Cuba	Havana	11194
Curaçao	Willemstad	192
Cyprus	Lefkosia	1260
Czechia	Praha	10495
Dem. People's Republic of Korea	P'yongyang	26160
Democratic Republic of the Congo	Kinshasa	102262
Denmark	Copenhagen	5910
Djibouti	Djibouti	1136
Dominica	Roseau	73
Dominican Republic	Santo Domingo	11332
Ecuador	Quito	18190
Egypt	Cairo	112716
El Salvador	San Salvador	6364
Equatorial Guinea	Malabo	1714
Eritrea	Asmara	3748
Estonia	Tallinn	1322
Ethiopia	Addis Ababa	126257
Faeroe Islands	Tórshav	53
Falkland Islands	Stanley	3
Fiji	Suva	936
Finland	Helsinki	5545
France	Paris	64756
French Guiana	Cayenne	312
French Polynesia	Papeete	308
Gabon	Libreville	2436
Gambia	Banjul	2773
Georgia	Tbilisi	3728
Germany	Berlin	83294
Ghana	Accra	34121
Gibraltar	Gibraltar	32
Greece	(Athens)	10341
Greenland	Nuuk	56
Grenada	St.George's	126
Guadeloupe	Basse-Terre	395
Guam	Hagåtña	172
Guatemala	Guatemala City	18092
Guinea	Conakry	14190
Guinea-Bissau	Bissau	2150
Guyana	Georgetown	813
Haiti	Port-au-Prince	11724
Holy See	Vatican City	1
Honduras	Tegucigalpa	10593
Hungary	Budapest	10156
Iceland	Reykjavík	375
India	Delhi	1428627
Indonesia	Jakarta	277534
Iran (Islamic Republic of)	Tehran	89128
Iraq	Baghdad	45504
Ireland	Dublin	5056
Isle of Man	Douglas	84
Israel	Jerusalem	9174
Italy	Rome	58870
Jamaica	Kingston	2825
Japan	Tokyo	123294
Jordan	Amman	11337
Kazakhstan	Astana	19606
Kenya	Nairobi	55100
Kiribati	Tarawa	133
Kuwait	Kuwait City	4310
Kyrgyzstan	Bishkek	6735
Lao People's Democratic Republic	Vientiane	7633
Latvia	Riga	1830
Lebanon	Beirut	5353
Lesotho	Maseru	2330
